sequence_length,implementation,batch_size,feature_dim,stages,alloc_after_gb,reserved_after_gb,alloc_peak_gb,reserved_peak_gb,execution_time_s,tensor_alloc_overhead_gb,run_alloc_overhead_gb,theoretical_mb,memory_efficiency
512,Triton,4,64,9,0.0005664825439453125,0.001953125,0.0005664825439453125,0.001953125,0.03303217887878418,0.0002613067626953125,0.000244140625,0.767578125,0.7557251908396947
512,Reference,4,64,9,0.0005664825439453125,0.001953125,0.0011768341064453125,0.001953125,0.06959342956542969,0.0002613067626953125,0.000244140625,0.767578125,1.5699745547073791
512,Dense,4,64,9,0.008989334106445312,0.0234375,0.008989334106445312,0.0234375,0.001859426498413086,0.008684158325195312,0.000244140625,0.767578125,11.992366412213741
1024,Triton,4,64,10,0.00907135009765625,0.021484375,0.00907135009765625,0.021484375,0.04883265495300293,0.00052642822265625,0.00048828125,1.5390625,6.035532994923858
1024,Reference,4,64,10,0.00907135009765625,0.0234375,0.01029205322265625,0.0234375,0.1394193172454834,0.00052642822265625,0.00048828125,1.5390625,6.847715736040609
1024,Dense,4,64,10,0.01102447509765625,0.021484375,0.01102447509765625,0.021484375,0.00011968612670898438,0.00247955322265625,0.00048828125,1.5390625,7.33502538071066
2048,Triton,4,64,11,0.01021575927734375,0.0234375,0.01021575927734375,0.0234375,0.045764923095703125,0.00106048583984375,0.0009765625,3.0859375,3.389873417721519
2048,Reference,4,64,11,0.01021575927734375,0.025390625,0.01265716552734375,0.025390625,0.2804863452911377,0.00106048583984375,0.0009765625,3.0859375,4.2
2048,Dense,4,64,11,0.01802825927734375,0.0625,0.01802825927734375,0.0625,0.0030307769775390625,0.00887298583984375,0.0009765625,3.0859375,5.982278481012658
4096,Triton,4,64,12,0.01251220703125,0.021484375,0.01251220703125,0.021484375,0.05215740203857422,0.00213623046875,0.001953125,6.1875,2.0707070707070705
4096,Reference,4,64,12,0.01251220703125,0.02734375,0.01739501953125,0.02734375,0.5566098690032959,0.00213623046875,0.001953125,6.1875,2.878787878787879
4096,Dense,4,64,12,0.04376220703125,0.146484375,0.04376220703125,0.146484375,0.0005905628204345703,0.03338623046875,0.001953125,6.1875,7.242424242424242
8192,Triton,4,64,13,0.017120361328125,0.021484375,0.017120361328125,0.021484375,0.08160233497619629,0.004302978515625,0.00390625,12.40625,1.4130982367758187
8192,Reference,4,64,13,0.017120361328125,0.046875,0.026885986328125,0.046875,1.1121420860290527,0.004302978515625,0.00390625,12.40625,2.2191435768261965
8192,Dense,4,64,13,0.142120361328125,0.521484375,0.142120361328125,0.521484375,0.0018241405487060547,0.129302978515625,0.00390625,12.40625,11.730478589420654
